TargetGene	Cell	log2FC.D14	RRA.padj.
EIF3E	HEK293FT	-1.47527660094902	3.37089579254772e-09
NCL	HEK293FT	-1.16041724655222	3.59369818945886e-09
CCT7	HEK293FT	-1.13523681997236	3.7744084608244e-09
POLR2I	HEK293FT	-1.18935158210374	3.7744084608244e-09
NARS	HEK293FT	-1.23865086296894	4.02029114285795e-09
RPL10A	HEK293FT	-1.22835389963775	4.27987451294898e-09
RPS7	HEK293FT	-1.24506591156902	4.72849725789318e-09
RPL11	HEK293FT	-1.40878862553059	5.42512050253275e-09
RPS2	HEK293FT	-1.29020227806163	5.42512050253275e-09
HUWE1	HEK293FT	-1.33260513109183	5.88270443189173e-09
PRPF31	HEK293FT	-1.20031918314327	5.94364361482058e-09
RPAP1	HEK293FT	-1.30713950585418	5.94364361482058e-09
HNRNPK	HEK293FT	-1.40203795200297	6.15124549018937e-09
HSPA9	HEK293FT	-1.21405368034704	6.15124549018937e-09
RUVBL2	HEK293FT	-1.50570404231992	6.15124549018937e-09
HSPD1	HEK293FT	-1.17976385888293	7.00490386287508e-09
RPS27	HEK293FT	-1.01597355382265	7.42360645074784e-09
RPL12	HEK293FT	-1.22956730940458	8.4251425225462e-09
FBL	HEK293FT	-1.25480314487768	8.61622651376571e-09
RPL9	HEK293FT	-1.34216796993084	9.03465206889947e-09
USP39	HEK293FT	-1.11979876546188	9.32130437647529e-09
DDX23	HEK293FT	-1.07725618782176	1.08905403846395e-08
MAT2A	HEK293FT	-1.51665857541879	1.18105381815071e-08
LSM5	HEK293FT	-1.0870043158037	1.33770836079786e-08
NOL6	HEK293FT	-1.34667470477029	1.4418374076528e-08
SARS	HEK293FT	-1.06149266462173	1.4418374076528e-08
EIF4G2	HEK293FT	-1.27638697216911	1.66721347682114e-08
RPS29	HEK293FT	-1.32271277759993	1.75500934443492e-08
SLC25A3	HEK293FT	-1.12731405269809	2.21500983937537e-08
PSMA5	HEK293FT	-1.05493601556093	2.39688972881188e-08
DDX21	HEK293FT	-1.06497957153351	2.59142483300095e-08
RPL3	HEK293FT	-1.13440104032248	3.0522262608371e-08
HNRNPC	HEK293FT	-1.30421851638295	3.10912533932604e-08
CNOT1	HEK293FT	-1.0840125771007	3.31878626862067e-08
NUPL1	HEK293FT	-1.10770121679619	3.31878626862067e-08
PRPF40A	HEK293FT	-1.16820122328749	3.88679597589597e-08
RPS12	HEK293FT	-1.19565244260881	6.40586351786803e-08
PSMA3	HEK293FT	-1.11144721944185	6.47719191921396e-08
NOL10	HEK293FT	-1.05421946841875	6.96717352443699e-08
FUS	HEK293FT	-0.966585735860674	7.20215063395711e-08
PSMC4	HEK293FT	-1.41078721070723	7.20215063395711e-08
PSMA7	HEK293FT	-1.21073708961497	7.72237023900949e-08
RPS18	HEK293FT	-1.21101880383484	7.72237023900949e-08
PWP2	HEK293FT	-1.0342519980915	7.94222074157796e-08
RPL23	HEK293FT	-0.990096686888049	8.07023203841319e-08
NUP98	HEK293FT	-1.32102128997559	8.20033152873724e-08
MCM7	HEK293FT	-0.941346499646984	8.46690138346362e-08
RPS3A	HEK293FT	-1.22003039346618	8.46690138346362e-08
CEP192	HEK293FT	-1.31195098941349	9.49078386964329e-08
DYNC1I2	HEK293FT	-1.00844752849132	9.8778563008512e-08
NUP133	HEK293FT	-0.928749725575462	1.02784583885253e-07
SMC3	HEK293FT	-0.853578491505448	1.0692983614221e-07
EIF1	HEK293FT	-1.00899373601453	1.08597710413041e-07
PSMD3	HEK293FT	-1.07844990586099	1.10291526384599e-07
PSMC2	HEK293FT	-1.09522952439859	1.19330838847321e-07
RPL4	HEK293FT	-0.920812987681347	1.19330838847321e-07
LSM4	HEK293FT	-1.00938341562868	1.29888769717793e-07
RABGGTB	HEK293FT	-1.05475272920226	1.3810941550808e-07
TUBB	HEK293FT	-1.0747047346228	1.47906942999333e-07
EPRS	HEK293FT	-0.980240638129261	1.48968882791711e-07
DDX41	HEK293FT	-1.10303182905101	1.50017012435368e-07
ILF2	HEK293FT	-0.907465272063516	1.50017012435368e-07
FTH1	HEK293FT	-0.867719407229408	1.52270967418207e-07
PSMC5	HEK293FT	-0.96762092929374	1.58085721711758e-07
RPL31	HEK293FT	-1.01315080119237	1.64090563860916e-07
EIF3F	HEK293FT	-1.1195412008262	1.66532674207639e-07
EIF3D	HEK293FT	-0.883332161559373	1.80645063232916e-07
SNRPA1	HEK293FT	-0.891966023864069	1.83297852168802e-07
PAFAH1B1	HEK293FT	-1.19109503130242	1.88717937464009e-07
PSMD14	HEK293FT	-0.90389982724915	1.88717937464009e-07
PRDX1	HEK293FT	-0.874380378197277	1.98569543375118e-07
SRSF11	HEK293FT	-0.934537167194345	1.98569543375118e-07
PPP2R1A	HEK293FT	-0.871522871595246	2.01467641868184e-07
PRPF38A	HEK293FT	-0.913471735554092	2.029569155333e-07
SEC13	HEK293FT	-1.07984545164076	2.029569155333e-07
U2AF2	HEK293FT	-0.914545873384795	2.10409017675526e-07
ANAPC4	HEK293FT	-0.925781177353371	2.22804151356555e-07
SMG1	HEK293FT	-0.971711608418572	2.30875305799779e-07
HNRNPDL	HEK293FT	-1.10767377607695	2.32266956743214e-07
DDX5	HEK293FT	-1.108816569636	2.35942142699482e-07
SRRT	HEK293FT	-0.782866728843005	2.35942142699482e-07
THOC2	HEK293FT	-1.04059900313423	2.3934052077801e-07
RPA3	HEK293FT	-0.963289144920695	2.42785480731563e-07
NUF2	HEK293FT	-0.826537338973619	2.46277546509065e-07
NUP107	HEK293FT	-0.897777831843665	2.65907547330412e-07
YBX1	HEK293FT	-0.792859526686036	2.75308354663328e-07
NUP153	HEK293FT	-1.22787212949326	2.79199447101531e-07
PSMB6	HEK293FT	-0.799734654327107	2.8900310745817e-07
RPL10	HEK293FT	-0.850016912262477	3.01355620875368e-07
SNRPD1	HEK293FT	-0.852314864554392	3.01355620875368e-07
WAC	HEK293FT	-0.75112049614907	3.01355620875368e-07
SNRPE	HEK293FT	-1.11583462498667	3.02507505821537e-07
NAPA	HEK293FT	-0.899710937997593	3.42583964426608e-07
WDR33	HEK293FT	-0.920967726939874	3.47294268556802e-07
U2AF1	HEK293FT	-1.04465763513397	3.5206566046862e-07
RPL15	HEK293FT	-0.915665795618716	3.5689879403567e-07
PSMB7	HEK293FT	-0.954813884283744	3.69002950167648e-07
ACTR10	HEK293FT	-1.01520968645029	3.81457915134755e-07
SNRPF	HEK293FT	-0.828968858537253	4.09923634048323e-07
IARS2	HEK293FT	-0.913705992585766	4.21012928072465e-07
NAE1	HEK293FT	-0.881364451135845	4.21012928072465e-07
CDC40	HEK293FT	-0.738105092185494	4.24138057675396e-07
URI1	HEK293FT	-0.913880935017439	4.24138057675396e-07
RPL19	HEK293FT	-0.795124079476591	4.298400694858e-07
CCT4	HEK293FT	-0.954404306638392	5.1960094752779e-07
SSU72	HEK293FT	-0.806933048948955	5.40283131617582e-07
TPX2	HEK293FT	-0.925839315617883	5.40283131617582e-07
HNRNPR	HEK293FT	-0.920828951981955	5.75273404071727e-07
PSMC1	HEK293FT	-0.786042588200904	5.75273404071727e-07
DHX15	HEK293FT	-0.934652651983193	5.82658843401538e-07
HNRNPD	HEK293FT	-1.01687206063775	6.19986247136513e-07
INTS3	HEK293FT	-0.916237014318968	6.19986247136513e-07
INTS1	HEK293FT	-0.891569311840954	6.63031707825348e-07
RPL13	HEK293FT	-0.793065997886372	6.96012047266427e-07
IARS	HEK293FT	-0.721598884767992	7.84220295805263e-07
SNRPD3	HEK293FT	-1.0838606664684	8.25079727468069e-07
ILF3	HEK293FT	-0.872591918668797	8.61949671396119e-07
NUDT21	HEK293FT	-0.763367674908636	8.72354157966047e-07
BUB1	HEK293FT	-0.74779489600966	8.82876788789073e-07
SEH1L	HEK293FT	-0.77261320465938	8.9351867318022e-07
COPB2	HEK293FT	-1.10557434558475	9.04280929498542e-07
RPL8	HEK293FT	-1.02559777282152	9.04789796795426e-07
UBA1	HEK293FT	-0.864521343575018	9.04789796795426e-07
EIF4G1	HEK293FT	-0.670633260390147	9.212964922218e-07
DNAJC19	HEK293FT	-1.02079860354221	9.48556360234731e-07
DHX9	HEK293FT	-0.936120807040726	9.86582762306239e-07
NUP160	HEK293FT	-1.00298033731208	9.86582762306239e-07
PPWD1	HEK293FT	-0.711338177056827	9.86582762306239e-07
EIF3M	HEK293FT	-0.740037129756427	1.04145912301001e-06
HSPA8	HEK293FT	-0.993227360058279	1.04145912301001e-06
FIP1L1	HEK293FT	-0.715760590112155	1.07174588566339e-06
USP7	HEK293FT	-0.683001936735872	1.08442521104026e-06
SNRPB	HEK293FT	-0.840592166372791	1.17305049932804e-06
HNRNPM	HEK293FT	-0.904565140681996	1.24092926163062e-06
NAA38	HEK293FT	-0.849907344826194	1.24092926163062e-06
RPS3	HEK293FT	-0.893077958002135	1.27984178623649e-06
RPL41	HEK293FT	-0.865686850193108	1.33377255419045e-06
RPS13	HEK293FT	-0.909414251978403	1.3936520595063e-06
EIF2S2	HEK293FT	-0.75980281218904	1.4397151185578e-06
POLA1	HEK293FT	-0.836273523030876	1.44875639391523e-06
CENPE	HEK293FT	-0.732149909826396	1.46517648026907e-06
XRN2	HEK293FT	-0.660491406432528	1.50574075084271e-06
CNBP	HEK293FT	-0.797673470308923	1.51985606908926e-06
RPL5	HEK293FT	-1.2837630791754	1.51985606908926e-06
POLR2H	HEK293FT	-0.930655583497601	1.53259895737609e-06
SDAD1	HEK293FT	-1.0789275985086	1.54989775914777e-06
DDX46	HEK293FT	-1.16306685501824	1.57794115179773e-06
CASC5	HEK293FT	-0.958017576339381	1.61145517008967e-06
MCM6	HEK293FT	-0.787828444279803	1.62091244877567e-06
NUP54	HEK293FT	-0.768999978592619	1.62091244877567e-06
EXOSC9	HEK293FT	-0.751165785707862	1.66517214943373e-06
AMD1	HEK293FT	-0.76543489122152	1.68381719126022e-06
RUVBL1	HEK293FT	-1.1947254387797	1.74350503050842e-06
BRD2	HEK293FT	-0.992474046695694	1.82420958269703e-06
POLE	HEK293FT	-0.763311344890712	1.82420958269703e-06
RAD21	HEK293FT	-0.742385931747548	1.90236688578748e-06
SRSF3	HEK293FT	-0.798891540302924	1.92328291586629e-06
PTBP1	HEK293FT	-1.15737081196701	1.95248187276288e-06
RFC4	HEK293FT	-0.959029082147982	1.97168266832613e-06
HIST1H1E	HEK293FT	-0.684894543474446	2.0179678643511e-06
SUPT6H	HEK293FT	-0.997891627173879	2.04001618396441e-06
RPL7A	HEK293FT	-1.10451310470098	2.04404758143531e-06
NCBP1	HEK293FT	-1.00877522344623	2.07655803922123e-06
POLR2A	HEK293FT	-0.985251506277214	2.07655803922123e-06
XRCC5	HEK293FT	-0.85602968431225	2.1304364038711e-06
BRD4	HEK293FT	-0.775081091936869	2.18639258620328e-06
PSMB1	HEK293FT	-0.921615789823312	2.34684014842717e-06
NUP88	HEK293FT	-0.975261612101389	2.65785270130256e-06
SRSF7	HEK293FT	-0.90912079978538	2.69844350517006e-06
NUTF2	HEK293FT	-0.943438310324066	2.89380422496131e-06
NOL11	HEK293FT	-0.919276237781773	2.94921054308662e-06
EWSR1	HEK293FT	-0.881790952801389	2.95083440821318e-06
FBXO5	HEK293FT	-0.648144166166659	3.02474934260369e-06
BOP1	HEK293FT	-0.737347457506228	3.0432385489622e-06
SYMPK	HEK293FT	-0.85731363285553	3.0432385489622e-06
DDX54	HEK293FT	-0.666356987052681	3.07462490560676e-06
SHFM1	HEK293FT	-0.986255021656	3.15120380378112e-06
IPO7	HEK293FT	-0.7233174990889	3.18356565567286e-06
URB1	HEK293FT	-0.687866238439481	3.21623153468895e-06
MED23	HEK293FT	-0.819091006822807	3.67545463072542e-06
SF3B4	HEK293FT	-0.75631404550907	3.67545463072542e-06
TPT1	HEK293FT	-0.824920618388293	3.86878751545099e-06
LARS	HEK293FT	-0.673796077300062	3.90978237534094e-06
TONSL	HEK293FT	-0.626526946928471	4.00383038135278e-06
ARIH1	HEK293FT	-0.806681871890041	4.04350663436637e-06
SF3B2	HEK293FT	-0.918433961082728	4.15716674599066e-06
PSMB2	HEK293FT	-0.808949728364807	4.23908895553061e-06
RPS27A	HEK293FT	-0.769190562312401	4.28078972533915e-06
NOC3L	HEK293FT	-0.735953052120385	4.38243942960903e-06
ATP5B	HEK293FT	-0.706500064471542	4.42537559989618e-06
NDC80	HEK293FT	-0.892800066251013	4.64112602285102e-06
HNRNPH3	HEK293FT	-0.639912446558149	4.69990755033366e-06
LDHA	HEK293FT	-0.744979125753884	4.74551186774019e-06
SRRM2	HEK293FT	-0.696337751436812	4.8565446512499e-06
TUFM	HEK293FT	-0.80147143563121	4.90347982334387e-06
RFC5	HEK293FT	-0.670777259398807	5.01767504227863e-06
SNW1	HEK293FT	-0.677385433660247	5.06597331188287e-06
FUBP1	HEK293FT	-0.628527892748124	5.14443329770637e-06
RPL37A	HEK293FT	-0.859946064436375	5.14443329770637e-06
YWHAE	HEK293FT	-0.5689084704066	5.14443329770637e-06
GNB2L1	HEK293FT	-0.6418835492167	5.19390125621767e-06
C1QBP	HEK293FT	-0.724485668075538	5.31389388059979e-06
CCNB1	HEK293FT	-0.713934409875545	5.50855750467909e-06
ACTG1	HEK293FT	-0.767824640187286	5.54050577462045e-06
UBE2I	HEK293FT	-0.705244649048913	5.54050577462045e-06
NOC4L	HEK293FT	-0.763295409960647	5.74220840047076e-06
RRP9	HEK293FT	-0.687460126538698	5.79663839374513e-06
POLR2F	HEK293FT	-0.808930804057386	5.83025912665706e-06
RPL35	HEK293FT	-0.751101937218185	5.83025912665706e-06
EIF3G	HEK293FT	-0.784447250459615	5.88550710354237e-06
COPS3	HEK293FT	-0.640038560329367	6.0190829890561e-06
OGT	HEK293FT	-0.700019305188406	6.22180990241342e-06
TOP2A	HEK293FT	-0.773737274231112	6.22180990241342e-06
COPZ1	HEK293FT	-0.696088024654065	6.24925212255124e-06
DDX3X	HEK293FT	-0.770150855716256	6.24925212255124e-06
DDX6	HEK293FT	-0.64485013827937	6.55638486510603e-06
MED17	HEK293FT	-0.596706542005438	6.76527570013931e-06
VPS35	HEK293FT	-0.673251890774724	6.76527570013931e-06
CCAR1	HEK293FT	-0.813028827923058	6.80430022471038e-06
ZNF207	HEK293FT	-0.686937346106242	6.80430022471038e-06
PPP2R2A	HEK293FT	-0.721841656020439	6.93708120541723e-06
RPL27A	HEK293FT	-0.759217648899584	6.93708120541723e-06
CHAF1B	HEK293FT	-0.627770848916647	6.97164993421034e-06
FARSB	HEK293FT	-0.655721547527023	6.97164993421034e-06
NOP58	HEK293FT	-0.75776870361452	7.03640873547936e-06
MCM3	HEK293FT	-0.976474465966497	7.19210472900817e-06
NUP214	HEK293FT	-0.66781785108012	7.25864600340141e-06
PHB2	HEK293FT	-0.63330116426845	7.41854557218722e-06
RPL29	HEK293FT	-0.703724580140912	7.48691007450162e-06
TNPO3	HEK293FT	-0.715307882413129	7.55584243523091e-06
RNGTT	HEK293FT	-0.65000165232607	7.72133715836868e-06
CDC27	HEK293FT	-0.811567140548209	7.84560842633783e-06
EIF4E	HEK293FT	-0.985668332686457	7.91887869570507e-06
SKIV2L2	HEK293FT	-0.922317887585447	8.10118686635699e-06
CPSF1	HEK293FT	-0.631568214759058	8.31145243606934e-06
RARS	HEK293FT	-0.622020783499032	9.13971452839173e-06
ARCN1	HEK293FT	-0.747367377914133	9.67243497719128e-06
RPS24	HEK293FT	-0.91206820966248	9.67243497719128e-06
KIAA0947	HEK293FT	-0.824748639673799	1.00937831361675e-05
ATL2	HEK293FT	-0.635477509329126	1.01494839488074e-05
SMC2	HEK293FT	-0.554642928035334	1.01494839488074e-05
ANAPC5	HEK293FT	-0.750967617376064	1.04535161494624e-05
CACTIN	HEK293FT	-0.67444927619807	1.04535161494624e-05
RRN3	HEK293FT	-0.767721650330081	1.09295344855964e-05
NCOR1	HEK293FT	-0.692022608333016	1.12534260855426e-05
SET	HEK293FT	-0.584908024676977	1.12534260855426e-05
RSL1D1	HEK293FT	-0.684580532911042	1.14861421328881e-05
CHD4	HEK293FT	-0.61836851650034	1.15855612348338e-05
EP300	HEK293FT	-0.631760514892171	1.19261148355523e-05
POLE2	HEK293FT	-0.621634853762599	1.19261148355523e-05
RRP12	HEK293FT	-0.565397333482689	1.21706995485796e-05
TUBB4B	HEK293FT	-0.629157375396009	1.22367843033079e-05
WDR82	HEK293FT	-0.517122645124331	1.22367843033079e-05
DTL	HEK293FT	-0.700019202373064	1.24868277671716e-05
CDC5L	HEK293FT	-0.638622886121664	1.30405787952729e-05
DNM1L	HEK293FT	-0.778677985373709	1.31515724398587e-05
CCNK	HEK293FT	-0.567436556746491	1.3263416494715e-05
DDB1	HEK293FT	-0.888648298256844	1.3474569796396e-05
PNPT1	HEK293FT	-0.658525468595911	1.3474569796396e-05
RPS8	HEK293FT	-0.840851787789063	1.3474569796396e-05
GTF3C4	HEK293FT	-0.467415864431784	1.53779707278865e-05
CCNA2	HEK293FT	-0.690373883860147	1.58600740936489e-05
RPL36	HEK293FT	-0.805774844669378	1.76330060822517e-05
UTP18	HEK293FT	-0.684102723773523	1.76330060822517e-05
KIF11	HEK293FT	-0.775663387910415	1.87491495217583e-05
SEC61A1	HEK293FT	-0.779218260928711	1.91490122642346e-05
VARS	HEK293FT	-1.0126597131652	1.92736862932525e-05
PAK1IP1	HEK293FT	-0.509294185400497	2.02069931326978e-05
RFC3	HEK293FT	-0.57225297554033	2.02069931326978e-05
THOC1	HEK293FT	-0.76912405221365	2.02069931326978e-05
NUP205	HEK293FT	-0.93184383843777	2.03593851520415e-05
POLR1A	HEK293FT	-0.450960947162886	2.09812991872219e-05
LRPPRC	HEK293FT	-0.860522972462444	2.12691431795651e-05
WDR12	HEK293FT	-0.655477257852019	2.24964370898257e-05
LDHB	HEK293FT	-0.78743876942053	2.26727906058826e-05
NOC2L	HEK293FT	-0.731378909167109	2.28158632349272e-05
PDCD11	HEK293FT	-0.696131994372322	2.28158632349272e-05
RPS21	HEK293FT	-0.563178983040663	2.29623084292887e-05
MYBL2	HEK293FT	-0.518896666754428	2.31421051196246e-05
NOP56	HEK293FT	-0.85113041135142	2.33231721007123e-05
SLC39A10	HEK293FT	-0.587673609366518	2.37574156162775e-05
PCNA	HEK293FT	-0.662642215817625	2.47175569363864e-05
PPA1	HEK293FT	-0.65106791823527	2.49091043026566e-05
SPAG5	HEK293FT	-0.501751656259428	2.53684991830483e-05
MED28	HEK293FT	-0.575033597952206	2.58351386075136e-05
HNRNPU	HEK293FT	-1.07736142396617	2.61154355127825e-05
RCL1	HEK293FT	-0.714613520119788	2.6234587470325e-05
NIPBL	HEK293FT	-0.665617079622891	2.63838326057915e-05
TRAIP	HEK293FT	-0.733435545456386	2.6564769061652e-05
WDR46	HEK293FT	-0.525402962189877	2.6564769061652e-05
ORC1	HEK293FT	-0.50263417948685	2.67690179700393e-05
POLR1B	HEK293FT	-0.690820637426359	2.68248208635545e-05
POLR2E	HEK293FT	-0.744580382056404	2.68248208635545e-05
SGOL1	HEK293FT	-0.871104329706211	2.68248208635545e-05
LAS1L	HEK293FT	-0.757922407769058	2.75600142834521e-05
SMC1A	HEK293FT	-0.5888604471048	2.78116275656857e-05
PSMD8	HEK293FT	-0.781369250132985	2.78420953145032e-05
CPSF2	HEK293FT	-0.544341686947675	2.81614305468615e-05
HARS	HEK293FT	-0.612814963288028	2.81614305468615e-05
CDC45	HEK293FT	-0.716559866543876	2.89400690008197e-05
EIF3A	HEK293FT	-0.881162107307516	2.92342910673825e-05
PSMB4	HEK293FT	-0.692148217210661	2.92342910673825e-05
RPS20	HEK293FT	-0.728419447400154	3.04800532277088e-05
SERBP1	HEK293FT	-0.668303832418364	3.04800532277088e-05
ETF1	HEK293FT	-0.652196106996679	3.08498066517183e-05
DARS	HEK293FT	-0.538625477876259	3.17334974884989e-05
NRF1	HEK293FT	-0.473028035748909	3.17334974884989e-05
SUPV3L1	HEK293FT	-0.711154756663199	3.17334974884989e-05
MAD2L1	HEK293FT	-0.58821264039335	3.18874057577494e-05
RPL35A	HEK293FT	-0.912305644112926	3.18874057577494e-05
ANAPC1	HEK293FT	-0.544174371310835	3.19580082169468e-05
PRIM1	HEK293FT	-0.557499657043272	3.19580082169468e-05
SMG5	HEK293FT	-0.501897498151622	3.19580082169468e-05
CDC16	HEK293FT	-0.939722711125096	3.2771480855931e-05
CIRH1A	HEK293FT	-0.665359118825047	3.2771480855931e-05
ATF4	HEK293FT	-0.826098107199847	3.28428196701071e-05
CCT5	HEK293FT	-0.946608286779465	3.31716433485911e-05
CWC22	HEK293FT	-0.723745216002534	3.31716433485911e-05
CLTC	HEK293FT	-0.573959792401077	3.56772438450132e-05
IPO13	HEK293FT	-0.580246701425104	3.64876784236778e-05
PCBP2	HEK293FT	-0.52846608658203	3.67575535919552e-05
CDC7	HEK293FT	-0.564351003239051	3.73988099532853e-05
CANX	HEK293FT	-0.695083578260167	3.76745306508702e-05
RPS23	HEK293FT	-0.658837139719234	4.13626989417168e-05
XPO5	HEK293FT	-0.567290356145831	4.13626989417168e-05
DNAJA1	HEK293FT	-0.491844623779376	4.16629038553708e-05
CPSF3L	HEK293FT	-0.486283628585712	4.19650589807626e-05
ESPL1	HEK293FT	-0.489674485327121	4.22691749924783e-05
TTC27	HEK293FT	-0.508206539304098	4.38358843093701e-05
PFN1	HEK293FT	-0.603126335080745	4.45814681777272e-05
MTOR	HEK293FT	-0.710599019488707	4.47888775202073e-05
UFD1L	HEK293FT	-0.65066078984762	4.47888775202073e-05
CPSF6	HEK293FT	-0.801492477808775	4.72181746339403e-05
NSA2	HEK293FT	-0.516646074911174	4.72181746339403e-05
SF3A1	HEK293FT	-0.891559128375773	4.72794225980793e-05
GNL3	HEK293FT	-0.602036271864105	4.74363785503732e-05
BIRC6	HEK293FT	-0.476605586521062	4.85770875430821e-05
EIF5	HEK293FT	-0.433405671192742	4.85770875430821e-05
BRIX1	HEK293FT	-0.630975170311007	4.86545501874164e-05
AARS	HEK293FT	-0.546965238870386	4.92695762617723e-05
CAPRIN1	HEK293FT	-0.653468896170209	5.00184482926741e-05
UTP20	HEK293FT	-0.773519054621989	5.0448207885808e-05
PSMA4	HEK293FT	-0.49864365499714	5.08050008681461e-05
AKIRIN2	HEK293FT	-0.553172947015303	5.2637178284986e-05
RABGGTA	HEK293FT	-0.572325712165397	5.38844387653318e-05
SF3A2	HEK293FT	-0.626170110659396	5.38844387653318e-05
MMS22L	HEK293FT	-0.593122711252398	5.82991916660106e-05
RBM26	HEK293FT	-0.547792626503791	6.11109130974035e-05
NUP85	HEK293FT	-0.640542462413337	6.21458441726348e-05
EEF2	HEK293FT	-0.796593846037154	6.37121142180574e-05
TXN	HEK293FT	-0.521446947872533	6.47169973415435e-05
EIF2B3	HEK293FT	-0.55671827578766	7.07359449627733e-05
SART1	HEK293FT	-0.481372771849894	7.38354500291211e-05
NAT10	HEK293FT	-0.474702527423655	7.43273830737546e-05
ZMAT2	HEK293FT	-0.639847518586522	7.59824969338982e-05
WNK1	HEK293FT	-0.454412690117028	7.60005571991397e-05
GTPBP4	HEK293FT	-0.724681163005439	7.65051091421131e-05
PUM1	HEK293FT	-0.645309848993097	7.95349524334116e-05
DNTTIP2	HEK293FT	-0.467564767246648	8.03451726700947e-05
CFL1	HEK293FT	-0.571543288957276	8.67391266598417e-05
USP9X	HEK293FT	-0.491598740789156	8.73855442815927e-05
PPP2CA	HEK293FT	-0.65651472319024	9.03051297391061e-05
